"","COUNTRY.x","FISHNET_ID","Latitude","Longitude","groundnut_HgHa","AET_mean","groundnut_Fertilizer","Pesticide","GDP_Mean","FISHNET_ID.1"
"10124","South Africa",50197,-24.0996,27.96,0.422041862897739,2.52995179469017,1.20150621003653,5.25389021628127,3.49225402986176,50197
"10128","India",50201,20.7904,75.5707,0.283712766086744,2.69787772551706,1.99856736728784,5.50520154772776,2.65874601931954,50201
"10130","Indonesia",50204,-10.8252,122.973,0.463892984060918,2.90065968137449,0.924504162179629,4.0484418035504,2.91077933629609,50204
"10136","India",50212,20.7939,86.3463,0.393086858319672,2.90997606175185,1.8930035891834,5.50520154772776,2.65874601931954,50212
"10138","Timor-Leste",50214,-9.08368,125.698,0.301029995663981,2.91742422959016,1.35666800947931,0.477121254719662,2.69360605792299,50214
"10142","China",50219,39.3978,94.4353,0.100877215529166,1.71052534496379,0.206354794160988,6.95136909386879,2.99627669770714,50219
"10143","Spain",50221,41.457,0.112226,0.608526027479956,2.36795462690077,1.78123609318816,5.40708143378234,4.21334781739129,50221
"10144","India",50222,21.6327,73.7741,0.366400686594311,2.72774936954471,1.99368127010698,5.50520154772776,2.65874601931954,50222
"10145","China",50223,32.0845,108.808,0.322627536904213,2.83774058596894,2.21466167627319,6.95136909386879,2.99627669770714,50223
"10150","Zambia",50230,-14.7378,24.3667,0.118995000596378,2.83051802176647,0.762778548859044,4.06785166051235,2.58561693011275,50230
"10151","Bolivia",50232,-11.2146,-65.4648,0.0456124299600451,2.92964240213142,1.46059270517492,4.4215710245264,2.98847132047518,50232
"10153","Argentina",50235,-31.2885,-63.6682,0.481204370408708,2.77168151360666,1.52745508497303,5.78923793550226,3.80950249718057,50235
"10155","Brazil",50237,-29.733,-52.8884,0.356443492572679,2.94395064114816,1.653145733645,5.98977763964001,3.58078294659351,50237
"10157","Congo DRC",50239,-6.75027,25.2651,0.21085089049744,2.83953415993838,0.991933536452462,0,2.26709515600535,50239
"10158","India",50240,25.7674,78.2657,0.360215597278201,2.7213861004455,1.89727368773545,5.50520154772776,2.65874601931954,50240
"10159","Angola",50241,-12.1,24.3667,0.0925237338008156,2.81970253684915,0.780377169063386,2.44870631990508,2.7855635422284,50241
"10162","Papua New Guinea",50244,-7.64709,142.944,0.292256066703321,2.98800921189296,1.20208254773583,2.8668778143375,2.79622643974621,50244
"10169","Peru",50252,-12.9825,-75.3463,0.425629314709162,2.60581470815887,1.39180666709499,4.21937492462626,3.31522015660823,50252
"10170","Uruguay",50253,-32.8185,-57.38,0.177641418285188,2.94938855434222,1.43994224872519,4.50852971897129,3.79013738663213,50253
"10175","Congo DRC",50259,-1.33998,29.7566,0.179745467726713,2.89543899029416,1.4527097555222,0,2.26709515600535,50259
"10176","Argentina",50261,-32.0567,-58.2783,0.393376085286853,2.94606608501205,1.42774001355172,5.78923793550226,3.80950249718057,50261
"10183","China",50270,48.4596,133.961,0.123312901635582,2.62124430504169,1.76536814556118,6.95136909386879,2.99627669770714,50270
"10184","Mexico",50271,26.5779,-107.686,0.184111454180453,2.7041096440293,2.09341684485321,5.19781516944518,3.82053390533369,50271
"10190","Myanmar",50279,22.4701,98.9269,0.271830886994524,2.93252812058648,1.84330652289056,3.59228781595213,2.23757342070395,50279
"10191","Chad",50280,8.57503,18.0785,0.292411570351569,2.84519404688618,1.08695033047658,2.46982201597816,2.33187050378788,50280
"10201","Peru",50290,-5.86625,-80.6525,0.186887180846926,1.54224234193103,1.22848743577012,4.21937492462626,3.31522015660823,50290
"10208","Myanmar",50300,22.4701,99.8252,0.252291008254505,2.9361380843224,2.12720479061155,3.59228781595213,2.23757342070395,50300
"10209","Uganda",50301,2.27666,33.3499,0.22364502374904,2.92944173472135,1.53166077158244,2.79028516403324,2.42066321182124,50301
"10212","Saudi Arabia",50305,20.7904,45.028,0.162727297633417,1.83385638719206,1.59496961989718,4.32570034291599,3.93411693195139,50305
"10220","China",50315,43.4523,114.198,0.21030703535487,2.47750884458247,1.76731580443493,6.95136909386879,2.99627669770714,50315
"10222","Mozambique",50317,-12.1,36.9432,0.0346192016030244,2.85417224749955,0.555986985607187,2.72916478969277,2.50009459561958,50317
"10225","Gambia",50321,13.8937,-13.3625,0.236241283936265,2.82851988042969,1.82211510764659,3.18497519069826,2.73926219920909,50321
"10236","India",50333,20.7904,74.6724,0.22763699394543,2.6466691561728,1.98830222924903,5.50520154772776,2.65874601931954,50333
"10239","Georgia",50336,42.7943,45.028,0.0873146471486374,2.4171156654859,1.01511551578047,4.33380987485523,2.91491025581416,50336
"10240","Georgia",50336,42.7943,45.028,0.0873146471486374,2.4171156654859,1.01511551578047,4.33380987485523,2.91491025581416,50336
"10243","Tanzania",50340,-9.43566,36.0448,0.164930852779312,2.87322888559018,0.475294300954938,1.7481880270062,2.58899405288781,50340
"10247","Myanmar",50344,25.7674,98.9269,0.33093964623678,2.83125257014275,2.15163536205842,3.59228781595213,2.23757342070395,50344
"10250","Burkina Faso",50347,11.2468,0.112226,0.266388840511446,2.87216494747533,1.68033398068781,2.68484536164441,2.45136741350565,50347
"10252","Angola",50349,-12.1,20.7735,0.0965286681443101,2.84635552403145,0.703523686828911,2.44870631990508,2.7855635422284,50349
"10253","Cambodia",50350,10.369,106.106,0.47537525788718,2.95524665896173,1.88300414674801,0,2.4976618359303,50350
"10260","United States",50359,32.0845,-82.5328,0.577775426617165,2.95426835951822,2.1001986345756,6.47257508985315,4.55253120853509,50359
"10264","Fiji",50362,-17.9959,177.969,0.301029995663981,2.99564041697923,0.114004123558618,3.37839790094814,3.36821071487432,50362
"10266","United States",50364,27.4113,-82.3262,0.113639891280932,2.96289336622851,1.75678379254237,6.47257508985315,4.55253120853509,50364
"10270","India",50369,15.6418,76.469,0.25807248818142,2.65990488659875,1.90865273348497,5.50520154772776,2.65874601931954,50369
"10271","South Africa",50370,-30.5139,25.2651,0.232538019130001,2.54976934880391,1.29968257774365,5.25389021628127,3.49225402986176,50370
"10272","Congo",50371,-3.14718,15.3836,0.169540757157279,2.92129828114247,1.14964414296955,1.85125834871908,2.93941686176546,50371
"10274","Ethiopia",50373,12.1321,38.7398,0.231376908624051,2.72058993750581,0.61196049904306,3.63648789635337,2.09437779351545,50373
"10277","Bolivia",50376,-16.4788,-64.5665,0.245979760831778,3.04207719325971,0.781703788387371,4.4215710245264,2.98847132047518,50376
"10279","Guatemala",50378,15.6418,-90.6176,0.272857683544603,2.97877405576979,1.67699970411789,4.86585578464168,3.22482089046339,50378
"10281","Australia",50380,-32.0567,144.741,0.0348918791818078,2.31953978990855,1.42853041113697,5.36316241230006,4.33107201983724,50380
"10283","Peru",50383,-15.6102,-71.753,0.385525035954061,2.5678802160228,1.3911177881935,4.21937492462626,3.31522015660823,50383
"10285","Japan",50386,32.9763,129.654,0.474172332676055,2.97256922587514,2.12774360170162,5.72928874039045,4.53949600698066,50386
"10295","Indonesia",50399,1.3697,111.512,0.732508634338886,3.02069415738431,1.40273148639751,4.0484418035504,2.91077933629609,50399
"10297","Indonesia",50401,-4.0497,104.317,0.463892984060918,2.97576268289386,1.84169377166159,4.0484418035504,2.91077933629609,50401
"10303","Egypt",50409,28.1817,30.6549,0.29364942604635,0.44307663499396,2.31752192245137,4.53804562440914,3.11157238883648,50409
"10305","Pakistan",50411,29.7614,71.9774,0.274023791437776,2.07207913004966,2.11911208033604,5.06566932773143,2.7175806602292,50411
"10306","Peru",50412,-9.43566,-75.3463,0.32721661841799,2.95183603275461,1.39785135056496,4.21937492462626,3.31522015660823,50412
"10309","Congo DRC",50416,-4.95121,27.96,0.122427788165654,2.90737776615211,0.833189926008868,0,2.26709515600535,50416
"10313","India",50421,34.3494,73.7741,0.404235197788928,2.63306246747439,1.72665938991116,5.50520154772776,2.65874601931954,50421
"10315","Kazakhstan",50425,51.918,78.2657,0.367744062712111,2.30500570056393,0.542909701403655,4.50851625226694,3.17598650936112,50425
"10316","Kazakhstan",50426,49.0536,54.0111,0.0587264587516463,2.06930021579345,0.635306042601524,4.50851625226694,3.17598650936112,50426
"10317","Benin",50427,7.6799,2.80717,0.128793865022928,2.86496817464867,1.32748509403751,0,2.71242068625386,50427
"10318","Australia",50429,-15.6102,143.843,0.493240821830279,2.91271537897535,1.28498666195805,5.36316241230006,4.33107201983724,50429
"10322","Burkina Faso",50433,12.1321,0.112226,0.282268448222634,2.80157723959042,1.77036283600858,2.68484536164441,2.45136741350565,50433
