Fishnet_ID,COUNTRY,mean_wheat,NEAR_DIST,Producer
48022,Russian Federation,1.107908487,1490692.285,Top
62496,Germany,7.600321862,1491621.653,Top
43965,Belarus,0.81170723,1492015.519,Bottom
54555,India,1.168895455,1492020.452,Top
42937,Russian Federation,1.954987463,1492574.886,Top
48385,Poland,3.638924661,1492863.626,Bottom
55977,Cameroon,1.03653068,1493409.34,Bottom
70159,Germany,6.16762871,1494203.071,Top
69520,Russian Federation,1.107908487,1494602.117,Top
66705,Lithuania,3.317968831,1495829.547,Bottom
61041,China,1.871894395,1496608.79,Top
26379,Kazakhstan,0.878282793,1497545.282,Bottom
44128,India,1.755147602,1497755.154,Top
76457,Russian Federation,2.239976938,1497770.179,Top
56634,Chad,0.73916239,1497812.159,Bottom
48256,Germany,6.047317443,1498387.295,Top
66497,Russian Federation,1.244979482,1498452.317,Top
72230,Kazakhstan,1.041507689,1498745.164,Bottom
50986,India,1.422010821,1499136.053,Top
49273,India,0.76009987,1499276.062,Top
59684,Kazakhstan,0.554285731,1499522.104,Bottom
50256,Poland,3.122175737,1499746.117,Bottom
69776,Russian Federation,1.743094501,1500350.68,Top
45900,Cameroon,1.45577106,1501040.054,Bottom
63884,Switzerland,2.360213606,1501440.285,Bottom
22065,Kazakhstan,0.295425565,1503984.801,Bottom
72794,Russian Federation,1.128617048,1504329.874,Top
45237,India,1.494045932,1504623.125,Top
43840,Somalia,0.894545468,1505353.092,Bottom
61309,Germany,6.468982356,1505488.351,Top
52999,Chad,0.922511495,1505586.955,Bottom
51984,India,0.517974396,1507380.991,Top
62592,Poland,3.477327677,1507457.813,Bottom
77184,Lithuania,2.868354102,1507562.892,Bottom
73476,Kazakhstan,0.181875005,1508202.869,Bottom
57581,Kenya,0.913700789,1508418.071,Bottom
62431,Kyrgyzstan,1.235087863,1509232.509,Bottom
38251,Russian Federation,1.779581036,1509652.065,Top
50917,Kazakhstan,0.948286289,1510023.063,Bottom
55374,India,1.149143388,1510159.847,Top
43138,Kenya,1.847767592,1511242.922,Bottom
45986,Kenya,1.605989944,1512604.088,Bottom
59745,Russian Federation,2.255138494,1513205.967,Top
37839,Niger,0.563309814,1513983.515,Bottom
64721,Russian Federation,1.516667412,1514205.996,Top
71313,Russian Federation,1.855635643,1514396.983,Top
56708,India,0.308316967,1516873.66,Top
55430,Russian Federation,1.239925608,1518182.713,Top
48557,Switzerland,5.019271721,1518669.718,Bottom
63843,India,1.20826776,1520592.238,Top
52670,Chad,1.510469163,1520672.321,Bottom
45423,India,2.766500264,1521072.848,Top
6752,India,2.944855674,1521278.192,Top
54930,India,0.500173342,1521425.359,Top
76134,Lithuania,2.602509484,1521675.917,Bottom
22457,India,2.881406901,1522350.982,Top
33407,Algeria,0.295690636,1522611.285,Bottom
17519,Kazakhstan,0.010104167,1523262.502,Bottom
53852,Algeria,1.321381886,1523729.973,Bottom
77380,Russian Federation,1.242648566,1524240.374,Top
65428,Germany,5.775445754,1524395.217,Top
67666,Germany,5.563982492,1524441.762,Top
47766,Kazakhstan,0.952076916,1524453.021,Bottom
74266,Germany,5.717729353,1524753.121,Top
55553,Kenya,1.65530301,1525016.959,Bottom
47105,India,2.787396447,1525264.361,Top
32868,Kyrgyzstan,0.770140383,1525350.616,Bottom
74690,Germany,6.498728951,1525729.967,Top
63587,Russian Federation,1.35668024,1525871.994,Top
42182,Poland,3.232251241,1527230.234,Bottom
17325,India,1.398044658,1528361.035,Top
62500,Kazakhstan,0.650340928,1528441.408,Bottom
41621,Russian Federation,1.283931315,1528718.859,Top
54287,Russian Federation,2.013303137,1528802.055,Top
66692,Germany,4.335210931,1529894.812,Top
69144,Kazakhstan,0.877619074,1530792.572,Bottom
70301,Germany,7.720023659,1531014.433,Top
50301,Uganda,1.757708314,1531816.798,Bottom
42420,India,1.371771076,1531910.583,Top
45923,Latvia,1.845625298,1532860.313,Bottom
51190,Belarus,1.718121165,1532970.802,Bottom
54652,Latvia,2.395471544,1533495.381,Bottom
40897,Russian Federation,1.597394896,1533511.376,Top
64231,Russian Federation,1.466856979,1533520.345,Top
66066,India,2.649952146,1534378.643,Top
41706,South Sudan,1.45787877,1534481.462,Bottom
70822,France,3.182838209,1534547.897,Top
67828,Russian Federation,1.37465448,1534608.681,Top
62810,India,2.02845878,1534834.431,Top
