Fishnet_ID,sunflower_HgHa,AET_mean,Growing_Mean,GDP_Mean,sunflower_Fertilizer
578,NA,NA,5.881818182,NA,0.024508522
579,0.66626372,412.0178571,NA,5002.57738,150.5083483
580,NA,NA,NA,NA,0.016621163
581,NA,NA,NA,NA,0.014567641
582,NA,NA,NA,NA,0.023975693
583,NA,NA,NA,NA,0.022834917
584,NA,NA,NA,NA,0.043004767
585,NA,NA,NA,NA,0.024022797
586,NA,NA,NA,NA,0.02595132
587,NA,NA,NA,NA,0.020133332
588,NA,NA,NA,NA,0.021959807
589,NA,NA,NA,NA,0.026825342
590,NA,NA,NA,NA,0.020979677
591,NA,NA,NA,NA,0.031219348
592,NA,NA,NA,NA,0.029225806
593,NA,NA,NA,NA,0.018783774
594,NA,NA,NA,NA,0.029579133
595,NA,NA,NA,NA,0.020654829
596,NA,NA,NA,NA,0.020001453
597,NA,NA,NA,NA,0.026380848
598,NA,NA,NA,NA,0.019620175
599,0.272691273,493.6994048,NA,609.3283481,4.065517964
600,NA,NA,NA,NA,0.03695719
601,NA,NA,NA,NA,0.042294119
602,NA,NA,NA,NA,0.021973805
603,NA,NA,NA,NA,0.032529665
604,NA,NA,NA,NA,0.023654514
605,NA,NA,NA,NA,0.024104368
606,NA,NA,NA,NA,0.02237335
607,NA,NA,NA,NA,0.0284074
608,NA,NA,NA,NA,0.023512122
609,NA,NA,NA,NA,0.021812876
610,NA,NA,NA,NA,0.035716672
611,NA,NA,NA,NA,0.024148814
612,NA,NA,NA,NA,0.021824196
613,NA,NA,NA,NA,0.020272837
614,NA,NA,NA,NA,0.01735006
615,NA,NA,NA,NA,0.022140286
616,NA,NA,NA,NA,0.019884667
617,NA,NA,0.646464646,NA,0.018531581
618,NA,NA,NA,NA,0.020725003
619,NA,NA,NA,NA,0.021971441
620,NA,NA,4.385964912,NA,0.030068603
621,NA,NA,NA,NA,0.02987916
622,NA,NA,NA,NA,0.035768236
623,NA,NA,NA,NA,0.029266844
624,NA,NA,NA,NA,0.018241672
625,NA,NA,NA,NA,0.027129168
626,NA,NA,0.986486486,NA,0.030984275
627,NA,NA,NA,NA,0.018758965
628,NA,NA,NA,NA,0.024328968
629,NA,NA,NA,NA,0.041692579
630,NA,NA,NA,NA,0.040926199
631,NA,NA,NA,NA,0.016060608
632,NA,NA,NA,NA,0.025256195
633,NA,NA,NA,NA,0.018953504
634,NA,NA,39.5,NA,0.020288068
635,NA,NA,NA,NA,0.019624773
636,NA,NA,NA,NA,0.013525003
637,NA,1224.666667,NA,1061.330138,0.317964539
638,NA,NA,NA,NA,0.018346109
639,NA,NA,NA,NA,0.020494701
640,NA,NA,12.08080808,NA,0.021024336
641,NA,125.375,NA,767.312629,1.424990851
642,NA,NA,NA,NA,0.017643459
643,NA,NA,NA,NA,0.022724495
644,0.558426949,487.3531746,NA,609.3283481,4.204485698
645,NA,NA,4.181818182,NA,0.028081597
646,NA,NA,NA,NA,0.014791455
647,NA,NA,NA,NA,0.022872581
648,NA,NA,NA,NA,0.024177081
649,NA,NA,8.774193548,NA,0.024987907
650,NA,NA,NA,NA,0.04048132
651,NA,49.61607143,NA,7861.749805,1.08362745
652,NA,NA,NA,NA,0.031938798
