Groot_Taxon,Taxon,Database_Groot,Coarse_root_fine_root_mass_ratio,Fine_root_mass_leaf_mass_ratio,Lateral_spread,Mean_Root_diameter,Net_nitrogen_uptake_rate,Root_branching_density,Root_branching_ratio,Root_C_concentration,Root_C_N_ratio,Root_Ca_concentration,Root_cortex_thickness,Root_dry_matter_content,Root_K_concentration,Root_length_density_volume,Root_lifespan_mean,Root_lifespan_median,Root_lignin_concentration,Root_litter_mass_loss_rate,Root_mass_density,Root_mass_fraction,Root_Mg_concentration,Root_Mn_concentration,Root_mycorrhizal colonization,Root_N_concentration,Root_N_P_ratio,Root_P_concentration,Root_production,Root_stele_diameter,Root_stele_fraction,Root_tissue_density,Root_total_structural_carbohydrate_concentration,Root_turnover_rate,Root_vessel_diameter,Root_xylem_vessel_number,Rooting_depth,Specific_root_area,Specific_root_length,Specific_root_respiration
Schizachyrium scoparium,Schizachyriumscoparium,Groot,,,,3.62281,,,,874.4941422,174.980659,,,,,,1118,,150,3.63935519,,6.704011634,,,,135.7494902,,1.3,,,,5.506076426,640,1.071,,,0.8,,1981.688046,111.452946
Schizanthus pinnatus,Schizanthuspinnatus,Groot,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,
Schizolobium parahyba,Schizolobiumparahyba,Groot,21.1666738,1.45795021,,0.898,,,,908.6115774,,,,,,,,,,,,4.647358912,,,,31.86204492,,,,,,0.893248878,,,,,,,13.37534029,
Schizonepeta fenuifolia,Schizonepetafenuifolia,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.22,
Schoenoplectus lacustris,Schoenoplectuslacustris,Groot,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schoenoplectus pungens,Schoenoplectuspungens,Groot,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schoenoplectus tabernaemontani,Schoenoplectustabernaemontani,Groot,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schoenoplectus triqueter,Schoenoplectustriqueter,Groot,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schoenus ferrugineus,Schoenusferrugineus,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schoenus nigricans,Schoenusnigricans,Groot,,,0.5,,,,,,,,,,,,,,,,,68.83650865,,,,,,,,,,,,,,,,,,
Schoepfia jasminodora,Schoepfiajasminodora,Groot,,,,0.19095,,,,637.298085,46.110944,,,,,,,,,,,,,,,13.852399,,,,,,0.412,,,,,,,81.48262136,
Schotia brachypetala,Schotiabrachypetala,Groot,,,,,,,,,,,,,,,,,,,,0.741,,,,,,,,,,,,,,,,,,
Sciadopitys verticillata,Sciadopitysverticillata,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,
Scilla bifolia,Scillabifolia,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scilla hyacinthina,Scillahyacinthina,Groot,,,,,,,,,,,,,,,,,,,,,,,49.31,,,,,,,,,,,,,,,
Scilla siberica,Scillasiberica,Groot,,,,,,,,,,,,,,,,,,,,,,,265,,,,,,,,,,,,,,,
Scirpoides ,Scirpoides,Groot,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,
Scirpoides holoschoenus,Scirpoidesholoschoenus,Groot,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scirpus ,Scirpus,Groot,,,,,,,,353.125,31.25,,,,,,,,218.429,1.637,,,,,,11.3,,,,,,,,,,,,,,
Scirpus atrovirens,Scirpusatrovirens,Groot,,,,,,,,1304.498749,109.2875479,,,,,,,,,,,,,,,36.1549282,,,,,,,,,,,,,,
Scirpus cyperinus,Scirpuscyperinus,Groot,,,,,,,,4864.101753,549.1183458,,,,,,,,,,,0.379268879,,,,118.8786215,,1.5,,,,,,,,,,,109.4885385,
Scirpus giganteus,Scirpusgiganteus,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,
Scirpus lacustris,Scirpuslacustris,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Scirpus mariqueter,Scirpusmariqueter,Groot,,,,,,,,328.182,39.54,,,,,,,,150.977,0.99,,,,,,8.3,,,,,,,,,,,,,,
Scirpus radicans,Scirpusradicans,Groot,,,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scirpus sylvaticus,Scirpussylvaticus,Groot,,,21.3,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Scirpus validis,Scirpusvalidis,Groot,,,,,,,,4775.272713,536.7531451,,,,,,,,,,,,,,,113.4755355,,,,,,,,,,,,,648.3865757,
Scleria lithosperma,Sclerialithosperma,Groot,,,,,,,,,,,,,,,,,,,,,,,61.67,,,,,,,,,,,,,,,
Scleropogon brevifolius,Scleropogonbrevifolius,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06,,,
Scolochloa festucacea,Scolochloafestucacea,Groot,,,13,,,,,,,,,,,,,,,,,,,,40,,,,689.75,,,,,2.123,,,,,,
Scorzonera acanthoclada,Scorzoneraacanthoclada,Groot,,,,,,,,,,,,,,,,,,,,,,,126,,,,,,,,,,,,,,,
Scorzonera alpigena,Scorzoneraalpigena,Groot,,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,
Scorzonera cana,Scorzoneracana,Groot,,,,,,,,436.2203936,42.26024294,,,,,,,,,,,,,,,10.32224056,,,,,,,,,,,,,35.31000001,
Scorzonera divaricata,Scorzoneradivaricata,Groot,,,,8.69,,,,,,,,,,,,705,,,,,,,,65.96,,,,,,,,,,,,,,124.7
Scorzonera hemilasia,Scorzonerahemilasia,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Scorzonera humilis,Scorzonerahumilis,Groot,,,,0.9562,,2.762497341,,,,,,,,,,,,,,,,,,,,,,,,0.273148147,,,,,,,412.5251666,
Scorzonera ketzkhowelii,Scorzoneraketzkhowelii,Groot,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,
Scorzonera parviflora,Scorzoneraparviflora,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorzonera purpurea,Scorzonerapurpurea,Groot,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
Scorzonera pusilla,Scorzonerapusilla,Groot,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,
Scorzonera radiata,Scorzoneraradiata,Groot,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,
Scorzonera sericeo-lanata,Scorzonerasericeo-lanata,Groot,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,
Scorzonera tragopogonoides,Scorzoneratragopogonoides,Groot,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,
Scorzonera tuberosa,Scorzoneratuberosa,Groot,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,
Scorzonera villosa,Scorzoneravillosa,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,,,
Scorzoneroides autumnalis,Scorzoneroidesautumnalis,Groot,,,0.5,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,,
Scorzoneroides helvetica,Scorzoneroideshelvetica,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorzoneroides montana,Scorzoneroidesmontana,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrophularia auriculata,Scrophulariaauriculata,Groot,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrophularia lateriflora,Scrophularialateriflora,Groot,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,
Scrophularia minima,Scrophulariaminima,Groot,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,
Scrophularia nodosa,Scrophularianodosa,Groot,,,13,,,,,377.5,,,,0.140342223,,,,,28.87013954,,,0.4363,,,0,2.801785714,,,,,,,,,,,,,256.1,62.2066
Scrophularia pamirica,Scrophulariapamirica,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Scrophularia ruprechtii,Scrophulariaruprechtii,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Scrophularia scopolii,Scrophulariascopolii,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scrophularia umbrosa,Scrophulariaumbrosa,Groot,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scutellaria alpina,Scutellariaalpina,Groot,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scutellaria altissima,Scutellariaaltissima,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scutellaria chaematochlora,Scutellariachaematochlora,Groot,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,
Scutellaria galericulata,Scutellariagalericulata,Groot,,,26.5,,,,,,,,,,,,,,,,,,,,186,,,,,,,,,,,,,,,
Scutellaria hastifolia,Scutellariahastifolia,Groot,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scutellaria minor,Scutellariaminor,Groot,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scutellaria orientalis,Scutellariaorientalis,Groot,,,,,,,,,,,,,,,,,,,,,,,318,,,,,,,,,,,,,,,
Scutellaria scordiifolia,Scutellariascordiifolia,Groot,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,
Scutellaria sieversii,Scutellariasieversii,Groot,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,
Secale cereale,Secalecereale,Groot,,,,1.322,,,,,,,,,,,,,,,,4.936,,,40,,,,,,,0.077,,,,,,,173.351,
Securidaca longipedunculata,Securidacalongipedunculata,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,
Securigera varia,Securigeravaria,Groot,,,17.1,,,,,,,,,,,,,,,,,0.539170507,,,23.4,,,,,,0.159,0.0906,,,,,,,211.1,
Sedum acre,Sedumacre,Groot,,,9.9,,,,,,,,,,,,,,,,,0.411071849,,,16,,,,,,,,,,,,,,,
Sedum album,Sedumalbum,Groot,,,6.8,,,,,,,,,0.2203,,,,,,,,0.699359488,,,2,,,,,,,,,,,,,,,
Sedum alpestre,Sedumalpestre,Groot,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sedum caespitosum,Sedumcaespitosum,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Sedum dasyphyllum,Sedumdasyphyllum,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sedum forsterianum,Sedumforsterianum,Groot,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sedum gracile,Sedumgracile,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Sedum hispidum,Sedumhispidum,Groot,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,
Sedum hybridum,Sedumhybridum,Groot,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
Sedum involucratum,Seduminvolucratum,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Sedum maximowiczii,Sedummaximowiczii,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Sedum pseudohybridum,Sedumpseudohybridum,Groot,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,
Sedum reflexum,Sedumreflexum,Groot,,,0.5,,,,,,,,,,,,,,,,,0.345121153,,,,,,,,,,,,,,,,,,
Sedum sexangulare,Sedumsexangulare,Groot,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sedum spurium,Sedumspurium,Groot,,,13,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,
Sedum stahlii,Sedumstahlii,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Sedum stenopetalum,Sedumstenopetalum,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,
Sedum stoloniferum,Sedumstoloniferum,Groot,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,
Sedum sukaczevii,Sedumsukaczevii,Groot,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,
Sehima nervosum,Sehimanervosum,Groot,,,,1.5,,,,3080,,,,,,,,,1050,,,,,,,17.1,,,,,,4.54,3900,,,,,,,
Selaginella densa,Selaginelladensa,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,
Selaginella helvetica,Selaginellahelvetica,Groot,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selaginella selaginoides,Selaginellaselaginoides,Groot,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,
Selinum carvifolia,Selinumcarvifolia,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sempervivum arachnoideum,Sempervivumarachnoideum,Groot,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sempervivum caucasicum,Sempervivumcaucasicum,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Sempervivum pumilum,Sempervivumpumilum,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Sempervivum ruthenicum,Sempervivumruthenicum,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Sempervivum tectorum,Sempervivumtectorum,Groot,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senecio abrotanifolius,Senecioabrotanifolius,Groot,,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senecio actinella,Senecioactinella,Groot,,,,,,,,401.4431,59.02187406,,,,,,,,,,,,,,,6.801598668,,,,,,,,,,,,,142.5997833,
Senecio alpinus,Senecioalpinus,Groot,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senecio aquaticus,Senecioaquaticus,Groot,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senecio aureus,Senecioaureus,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94488,,,
Senecio cacaliaster,Seneciocacaliaster,Groot,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senecio candolleanus,Seneciocandolleanus,Groot,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,
Senecio crassulus,Seneciocrassulus,Groot,,,,5.6957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693.4727778,
Senecio doronicum,Seneciodoronicum,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senecio eremophilus,Senecioeremophilus,Groot,,,,,,,,405.6853867,32.97092609,,,,,,,,,,,,,,,12.30433702,,,,,,,,,,,,,235.3138455,
Senecio erucifolius,Senecioerucifolius,Groot,,,9.9,0.13795,,,,,,,,,,,,,,,,0.615384615,,,,,,,,,,0.4,,,,,,757.0208333,174.751875,
Senecio filaginoides,Seneciofilaginoides,Groot,147.4380952,0.065126542,,,,,,,,,,,,,,,,,,3.08713332,,,,40,,,,,,,,,,,2.7,,,
Senecio glaucophyllus,Senecioglaucophyllus,Groot,,,,,,,,,,,,,,,,,,,,0.585046368,,,,5.276590737,,,,,,,,,,,,,220.8755808,
Senecio incanus,Senecioincanus,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senecio integrifolius,Seneciointegrifolius,Groot,,,,,,,,,,,,,,,,,,,,,,,344,,,,,,,,,,,,,,,
Senecio jacobaea,Seneciojacobaea,Groot,,,11.5,,,,,,,,,,,,,,,,,4.730182904,,,173,5.92241,,,,,,,,,,,,,,
Senecio jacquinianus,Seneciojacquinianus,Groot,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,
Senecio karjaginii,Seneciokarjaginii,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Senecio nemorensis,Senecionemorensis,Groot,,,13,,,,,,,,,,,,,,,,,,,,264,13.43085,,,,,,,,,,,,,,
Senecio ovatus,Senecioovatus,Groot,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senecio paludosus,Seneciopaludosus,Groot,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senecio primulifolius,Senecioprimulifolius,Groot,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,
Senecio pyroglossus,Seneciopyroglossus,Groot,,,,,,,,,,,,,,,,,,,,,,,270,,,,,,,,,,,,,,,
Senecio renifolius,Seneciorenifolius,Groot,,,,,,,,,,,,,,,,,,,,,,,135,,,,,,,,,,,,,,,
Senecio sarracenicus,Seneciosarracenicus,Groot,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senecio sosnowskyi,Seneciososnowskyi,Groot,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,
Senecio subalpinus,Seneciosubalpinus,Groot,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senecio subdentatus,Seneciosubdentatus,Groot,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,
Senecio taraxacifolius,Seneciotaraxacifolius,Groot,,,,,,,,,,,,,,,,,,,,,,,390,,,,,,,,,,,,,,,
Senecio umbrosus,Senecioumbrosus,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senecio vernalis,Seneciovernalis,Groot,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,
Senecio vulgaris,Seneciovulgaris,Groot,,,,,,,,,,,,,,,,,,,,1.138794256,,,,14.69522,,,,,,,,,,,,,,
Senegalia catechu,Senegaliacatechu,Groot,,,,,,,,,,,,,,,,,,,,1.88,,,,,,,,,,,,,,,,,,
Senegalia mellifera,Senegaliamellifera,Groot,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,
Senegalia nigrescens,Senegalianigrescens,Groot,,,,,,,,,,,,,,,,,,,,0.96,,,,,,,,,,,,,,,,,,
Senna marilandica,Sennamarilandica,Groot,,,,2.6231,,,,,,,,,,,,,,,,2.044311304,,,,,,,,,,2.63675753,,,,,,,414.5002746,
Senna obtusifolia,Sennaobtusifolia,Groot,,,,,,,,,,,,,,,,,,,,3.32,,,,,,,,,,,,,,,,,,
Senna siamea,Sennasiamea,Groot,,,,,,,,944.26,125,12.9,,,14.7,,,,345,,,,1.73,,,15.2,,1.8,,,,,,,,,,,,
Senna timoriensis,Sennatimoriensis,Groot,,,,,,,,,,,,1.9032,,,,,,,,2.11,,,,,,,,,,,,,,,,,,
Sequoia gigante,Sequoiagigante,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,,,
Sequoia sempervirens,Sequoiasempervirens,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,
Serapias vomeracea,Serapiasvomeracea,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serenoa repens,Serenoarepens,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,,,
Seriphidium terrae-albae,Seriphidiumterrae-albae,Groot,,,,,,,,,,,,,,,,,,,,,,,,8.26,,,,,,,,,,,,,51.08,
Serissa serissoides,Serissaserissoides,Groot,,,,0.33,,,,,48.22,,,,,,,,,,,,,,,,,,,,,,,11.30706567,,,,,507.2,
Serratula algida,Serratulaalgida,Groot,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,
Serratula coronata,Serratulacoronata,Groot,,,,,,,,,,,,,,,,,,,,,,,172,,,,,,,,,,,,,,,
Serratula tinctoria,Serratulatinctoria,Groot,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sesamum indicum,Sesamumindicum,Groot,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,
Sesbania bispinosa,Sesbaniabispinosa,Groot,,,,,,,,2036.88,147.6,,,,,,,,84,27.599,,,,,76.12,55.2,,,,,,,,,,,,,,
Sesbania herbacea,Sesbaniaherbacea,Groot,,,,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,,,,,,
Sesbania sesban,Sesbaniasesban,Groot,,,,,,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,
Sesbania virgata,Sesbaniavirgata,Groot,,,,,,,,,,,,,,,,,,,,0.68,,,,,,,,,,,,,,,,,,
Seseli ledebourii,Seseliledebourii,Groot,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
Seseli libanotis,Seselilibanotis,Groot,,,,,,,,,,,,,,,,,,,,,,,296,,,,,,,,,,,,,,,
Sesleria albicans,Sesleriaalbicans,Groot,,,,,,,,,,,,,,,,,,,,,,,,9.5,,,,,,,,,,,,,,
Sesleria argentea,Sesleriaargentea,Groot,,,,,,,,,,,,,,,,,,,,,,,,9.86,,,,,,,,,,,,,,
Sesleria caerulea,Sesleriacaerulea,Groot,,,4.7,6.063,,70.0706992,,,,,,0.734,,,,,,,,,,,,9.7,,,,,,9.524219427,,,,,,,8508.43742,
Sesleria ovata,Sesleriaovata,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sesleria phleoides,Sesleriaphleoides,Groot,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,
Sesleria sphaerocephala,Sesleriasphaerocephala,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sesleria uliginosa,Sesleriauliginosa,Groot,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setaria faberi,Setariafaberi,Groot,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,
Setaria faberii,Setariafaberii,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.144286508,,4.521778399,
Setaria glauca,Setariaglauca,Groot,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,148,
Setaria italica,Setariaitalica,Groot,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,
Setaria nirgrirostris,Setarianirgrirostris,Groot,,,,0.3,,,,459.9,,,,,,,,,170,,,,,,,3.5,,,,,,0.55,750,,,,,,,
Setaria pumila,Setariapumila,Groot,,,,,,,,,,,,,,,,,,,,,,,117.29,,,,,,,,,,,,,,,
Setaria viridis,Setariaviridis,Groot,,,,,,,,,,,,,,,,,,,,1.76,,,60,12.88,,,,,,,,,,,,,117.86,
Sextonia rubra,Sextoniarubra,Groot,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,210,0.082754738,0.33,,,,,,,4.68,
Shepherdia argentea,Shepherdiaargentea,Groot,,,,,,,,460,,,,0.245,,,,,,1.72,,,,,,33.8,,,,,,0.25,,,,,,,16.2,
Shorea acuminata,Shoreaacuminata,Groot,,,,0.418045,,,,,,,,,,,,,,,,,,,,,,,,,,0.270904963,,,,,,,27.48305451,21.18492247
Shorea leprosula,Shorealeprosula,Groot,,,,0.341835294,,,,,,,,,,,,,,,,,,,,,,,,,,0.480185138,,,,,,,24.9992726,11.6971082
Shorea multiflora,Shoreamultiflora,Groot,,,,0.8817,,,,,,,,,,,,,,,,,,,,,,,,,,0.8543415,,,,,,,1.940391478,4.034205311
Shorea robusta,Shorearobusta,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,1.63771345,,,,,,
Shorea singkawang,Shoreasingkawang,Groot,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,
Sibbaldia procumbens,Sibbaldiaprocumbens,Groot,,,0.5,,,,,436.2491922,28.07178519,,,,,,,,,,,,,,440,15.54048629,,,,,,,,,,,,,128.11,
Sibiraea laevigata,Sibiraealaevigata,Groot,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,
Sida acuta,Sidaacuta,Groot,,,,0.408,,,,429.4,48.51977401,,,0.3956,,,,,147.8,,,,,,,8.85,,,,,,,642.1,,,,,,19.09,9.94
Sida cordifolia,Sidacordifolia,Groot,,,,,,,,,,,,,,,,,,,,,,,54.37,,,,,,,,,,,,,,,
Sida hermaphrodita,Sidahermaphrodita,Groot,,,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,
Sidalcea oregana,Sidalceaoregana,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.244598984,,,
Sideritis montana,Sideritismontana,Groot,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
Sideritis pusilla,Sideritispusilla,Groot,,,,0.314675,,,,,,,,0.280722726,,,,,,,,,,,,,,,,,,0.524128702,,,,,,249.0109253,7.149525656,
Sieversia ciliata,Sieversiaciliata,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6764,,,
Sieversia turbinata,Sieversiaturbinata,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,,
Silaum silaus,Silaumsilaus,Groot,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
Silene acaulis,Sileneacaulis,Groot,,,,,,,,,,,,,,,,,,,,,,,,5,2.941176471,1.7,,,,,,,,,0.2,,,
Silene chlorantha,Silenechlorantha,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Silene compacta,Silenecompacta,Groot,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,
Silene cucubalus,Silenecucubalus,Groot,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,,0.25,,,,,,,,
Silene dioica,Silenedioica,Groot,,,,,,,,1129.16795,,,,0.533867469,,,,,,,,2.080423267,,,,187.56786,,,,,,,,,,,,,,179.1900071
Silene gallica,Silenegallica,Groot,,,,,,,,,,,,,,,,,,5.104293003,,,,,,6.7,,,,,,,,,,,,,434,
Silene inflata,Sileneinflata,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Silene lacera,Silenelacera,Groot,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,
Silene latifolia,Silenelatifolia,Groot,,,,0.1789,,,,,,,,,,,,,,,,0.59724238,,,0,,,,,,,0.359388646,,,,,,648.4039593,136.6629083,
Silene linearifolia,Silenelinearifolia,Groot,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,
Silene longicarpophora,Silenelongicarpophora,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Silene marcowiczii,Silenemarcowiczii,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Silene multiflora,Silenemultiflora,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Silene nana,Silenenana,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
