Order_Mean,FISHNET_ID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
289,62160,1,5885996306,0.019353557,0.019353557,0,0.019353557,0,0.019353557
290,65330,1,5885996306,0.019351585,0.019351585,0,0.019351585,0,0.019351585
291,45608,1,5885996306,0.019349707,0.019349707,0,0.019349707,0,0.019349707
292,63898,1,5885996306,0.019349417,0.019349417,0,0.019349417,0,0.019349417
293,60889,2,11771992612,0.019298963,0.01938598,8.70172E-05,0.019342472,4.35086E-05,0.038684944
294,74978,2,11771992612,0.019299807,0.019382013,8.2206E-05,0.01934091,4.1103E-05,0.03868182
295,62888,2,11771992612,0.019322053,0.019354768,3.27155E-05,0.01933841,1.63577E-05,0.038676821
296,56467,1,5885996306,0.019336704,0.019336704,0,0.019336704,0,0.019336704
297,66371,1,5885996306,0.019336108,0.019336108,0,0.019336108,0,0.019336108
298,72801,1,5885996306,0.019335585,0.019335585,0,0.019335585,0,0.019335585
299,57094,1,5885996306,0.019334679,0.019334679,0,0.019334679,0,0.019334679
300,69176,1,5885996306,0.019333677,0.019333677,0,0.019333677,0,0.019333677
301,61066,1,5885996306,0.019333435,0.019333435,0,0.019333435,0,0.019333435
302,44179,1,5885996306,0.019333206,0.019333206,0,0.019333206,0,0.019333206
303,58889,1,5885996306,0.019327618,0.019327618,0,0.019327618,0,0.019327618
304,49584,1,5885996306,0.019327592,0.019327592,0,0.019327592,0,0.019327592
305,57531,2,11771992612,0.019310886,0.019342415,3.1529E-05,0.019326651,1.57645E-05,0.038653301
306,70265,1,5885996306,0.019320706,0.019320706,0,0.019320706,0,0.019320706
307,52207,1,5885996306,0.019318786,0.019318786,0,0.019318786,0,0.019318786
308,44963,2,11771992612,0.019293686,0.019343119,4.94327E-05,0.019318403,2.47164E-05,0.038636805
309,68655,1,5885996306,0.019316878,0.019316878,0,0.019316878,0,0.019316878
310,44687,2,11771992612,0.019268671,0.01936006,9.13888E-05,0.019314365,4.56944E-05,0.038628731
311,67187,1,5885996306,0.019309578,0.019309578,0,0.019309578,0,0.019309578
312,68681,2,11771992612,0.019301403,0.019308377,6.97374E-06,0.01930489,3.48687E-06,0.03860978
